repere1	repere2	distance_m	duree_s
Aïn Sebaâ	Aïn Chock	11021	1294
Hay Mohammadi	Aïn Chock	12016	1441
Ben M'sick	Aïn Chock	3451	705
Hay Hassani	Aïn Chock	12903	1720
CASA Tachfine Center	Aïn Chock	9036	1203
Sbata	Aïn Chock	2421	417
Sidi Maârouf	Aïn Chock	8688	1151
Bourgogne	Aïn Chock	2341045	88569
Aïn Borja	Aïn Chock	8566	1134
Maârif	Aïn Chock	8409	1171
Hay El Houda	Aïn Chock	11804	1333
Hay El Baraka	Aïn Chock	13207	1721
Hay Al Amal	Aïn Chock	4987	900
Mers Sultan	Aïn Chock	4597	818
Hay Essalam	Aïn Chock	144955	5970
Aïn Chock	ANFA	7759	1170
El Oulfa	Aïn Chock	11552	1520
Lissasfa	Aïn Chock	11257	1284
Sidi Bernoussi	Aïn Chock	14889	1350
Hay El Farah	Aïn Chock	4991	913
Al Fida	Aïn Chock	5640	924
BACHKOU	Aïn Chock	8039	1057
Hay Woroud	Aïn Chock	2963300	110661
LA GIRONDE	Aïn Chock	1764988	68301
Derb Ghallef	Aïn Chock	9260	1358
Aïn Chock	Sidi Moumen	11527	1352
Hay Arrahma	Aïn Chock	609742	22236
Aïn Chock	Hay Moulay Rachid 4	6790	1105
Bournazel	Aïn Chock	2026431	77224
Hay Mohammadi	Aïn Sebaâ	3271	414
Aïn Sebaâ	Ben M'sick	8567	919
Hay Hassani	Aïn Sebaâ	17657	1650
Aïn Sebaâ	CASA Tachfine Center	6096	761
Aïn Sebaâ	Sbata	10844	1217
Aïn Sebaâ	Sidi Maârouf	18087	1554
Aïn Sebaâ	Bourgogne	2330800	88165
Aïn Sebaâ	Aïn Borja	6438	846
Aïn Sebaâ	Maârif	12386	1087
Hay El Houda	Aïn Sebaâ	3207	582
Aïn Sebaâ	Hay El Baraka	17961	1651
Hay Al Amal	Aïn Sebaâ	9151	888
Aïn Sebaâ	Mers Sultan	8897	820
Aïn Sebaâ	Hay Essalam	134710	5566
Aïn Sebaâ	ANFA	11933	1210
El Oulfa	Aïn Sebaâ	17545	1504
Aïn Sebaâ	Lissasfa	16011	1214
Sidi Bernoussi	Aïn Sebaâ	5765	644
Aïn Sebaâ	Hay El Farah	7756	871
Al Fida	Aïn Sebaâ	9207	927
Aïn Sebaâ	BACHKOU	12843	943
Hay Woroud	Aïn Sebaâ	2953055	110256
LA GIRONDE	Aïn Sebaâ	1754743	67897
Derb Ghallef	Aïn Sebaâ	13237	1274
Aïn Sebaâ	Sidi Moumen	2930	600
Aïn Sebaâ	Hay Arrahma	599497	21832
Aïn Sebaâ	Hay Moulay Rachid 4	4830	752
Aïn Sebaâ	Bournazel	2016186	76820
Hay Mohammadi	Ben M'sick	5690	774
Hay Mohammadi	Hay Hassani	15688	1633
Hay Mohammadi	CASA Tachfine Center	3273	488
Hay Mohammadi	Sbata	7518	1086
Hay Mohammadi	Sidi Maârouf	16117	1537
Hay Mohammadi	Bourgogne	2335051	88423
Hay Mohammadi	Aïn Borja	3310	547
Hay Mohammadi	Maârif	10416	1070
Hay El Houda	Hay Mohammadi	5161	863
Hay Mohammadi	Hay El Baraka	15992	1634
Hay Mohammadi	Hay Al Amal	4807	680
Hay Mohammadi	Mers Sultan	4110	591
Hay Mohammadi	Hay Essalam	138961	5824
Hay Mohammadi	ANFA	7887	1222
El Oulfa	Hay Mohammadi	15576	1487
Hay Mohammadi	Lissasfa	14042	1197
Hay Mohammadi	Sidi Bernoussi	10016	902
Hay Mohammadi	Hay El Farah	4133	610
Al Fida	Hay Mohammadi	6066	911
Hay Mohammadi	BACHKOU	10874	926
Hay Woroud	Hay Mohammadi	2957306	110515
LA GIRONDE	Hay Mohammadi	1758994	68155
Hay Mohammadi	Derb Ghallef	11267	1257
Hay Mohammadi	Sidi Moumen	6654	904
Hay Mohammadi	Hay Arrahma	603748	22090
Hay Mohammadi	Hay Moulay Rachid 4	5041	815
Hay Mohammadi	Bournazel	2020437	77078
Hay Hassani	Ben M'sick	14355	1494
CASA Tachfine Center	Ben M'sick	5709	746
Sbata	Ben M'sick	3700	591
Sidi Maârouf	Ben M'sick	14784	1398
Bourgogne	Ben M'sick	2337578	88408
Aïn Borja	Ben M'sick	5239	677
Ben M'sick	Maârif	9083	931
Hay El Houda	Ben M'sick	9458	870
Hay El Baraka	Ben M'sick	14658	1495
Hay Al Amal	Ben M'sick	2641	437
