ville1	ville2	distance_m	duree_s
Aïn Chock	Aïn Sebaâ	11021	1294
Aïn Chock	Hay Mohammadi	12016	1441
Aïn Chock	Ben M'sick	3451	705
Aïn Chock	Hay Hassani	12903	1720
Aïn Chock	CASA Tachfine Center	9036	1203
Aïn Chock	Sbata	2421	417
Aïn Chock	Sidi Maârouf	8688	1151
Aïn Chock	Bourgogne	2341045	88569
Aïn Chock	Aïn Borja	8566	1134
Aïn Chock	Maârif	8409	1171
Aïn Chock	Hay El Houda	11804	1333
Aïn Chock	Hay El Baraka	13207	1721
Aïn Chock	Hay Al Amal	4987	900
Aïn Chock	Mers Sultan	2884	493
Aïn Chock	Hay Essalam	144955	5970
Aïn Chock	ANFA	7759	1170
Aïn Chock	El Oulfa	11552	1520
Aïn Chock	Lissasfa	11257	1284
Aïn Chock	Sidi Bernoussi	14889	1350
Aïn Chock	Hay El Farah	4991	913
Aïn Chock	Al Fida	5640	924
Aïn Chock	BACHKOU	8039	1057
Aïn Chock	Hay Woroud	2963300	110668
Aïn Chock	LA GIRONDE	1764988	68301
Aïn Chock	Derb Ghallef	9260	1358
Aïn Chock	Sidi Moumen	11527	1352
Aïn Chock	Hay Arrahma	6481	1008
Aïn Chock	Hay Moulay Rachid 4	6790	1105
Aïn Chock	Bournazel	2026431	77224
Hay Mohammadi	Aïn Sebaâ	3271	414
Ben M'sick	Aïn Sebaâ	8567	919
Hay Hassani	Aïn Sebaâ	17657	1650
CASA Tachfine Center	Aïn Sebaâ	6096	761
Sbata	Aïn Sebaâ	10844	1217
Sidi Maârouf	Aïn Sebaâ	18087	1554
Bourgogne	Aïn Sebaâ	2330800	88165
Aïn Sebaâ	Aïn Borja	6438	846
Maârif	Aïn Sebaâ	12386	1087
Hay El Houda	Aïn Sebaâ	3207	582
Aïn Sebaâ	Hay El Baraka	17961	1651
Hay Al Amal	Aïn Sebaâ	9151	888
Mers Sultan	Aïn Sebaâ	10276	909
Hay Essalam	Aïn Sebaâ	134710	5566
ANFA	Aïn Sebaâ	11933	1210
El Oulfa	Aïn Sebaâ	17545	1504
Lissasfa	Aïn Sebaâ	16011	1214
Sidi Bernoussi	Aïn Sebaâ	5765	644
Hay El Farah	Aïn Sebaâ	7756	871
Al Fida	Aïn Sebaâ	9207	927
Aïn Sebaâ	BACHKOU	12843	943
Hay Woroud	Aïn Sebaâ	2953055	110264
LA GIRONDE	Aïn Sebaâ	1754743	67897
Derb Ghallef	Aïn Sebaâ	13237	1274
Sidi Moumen	Aïn Sebaâ	2930	600
Hay Arrahma	Aïn Sebaâ	5064	769
Hay Moulay Rachid 4	Aïn Sebaâ	4830	752
Bournazel	Aïn Sebaâ	2016186	76820
Hay Mohammadi	Ben M'sick	5690	774
Hay Mohammadi	Hay Hassani	15688	1633
Hay Mohammadi	CASA Tachfine Center	3273	488
Sbata	Hay Mohammadi	7518	1086
Hay Mohammadi	Sidi Maârouf	16117	1537
Hay Mohammadi	Bourgogne	2335051	88423
Hay Mohammadi	Aïn Borja	3310	547
Hay Mohammadi	Maârif	10416	1070
Hay Mohammadi	Hay El Houda	5161	863
Hay Mohammadi	Hay El Baraka	15992	1634
Hay Mohammadi	Hay Al Amal	4807	680
Hay Mohammadi	Mers Sultan	8306	891
Hay Essalam	Hay Mohammadi	138961	5824
Hay Mohammadi	ANFA	7887	1222
Hay Mohammadi	El Oulfa	15576	1487
Lissasfa	Hay Mohammadi	14042	1197
Hay Mohammadi	Sidi Bernoussi	10016	902
Hay El Farah	Hay Mohammadi	4133	610
Hay Mohammadi	Al Fida	6066	911
Hay Mohammadi	BACHKOU	10874	926
Hay Mohammadi	Hay Woroud	2957306	110522
Hay Mohammadi	LA GIRONDE	1758994	68155
Hay Mohammadi	Derb Ghallef	11267	1257
Hay Mohammadi	Sidi Moumen	6654	904
Hay Arrahma	Hay Mohammadi	5275	832
Hay Mohammadi	Hay Moulay Rachid 4	5041	815
Hay Mohammadi	Bournazel	2020437	77078
Ben M'sick	Hay Hassani	14355	1494
Ben M'sick	CASA Tachfine Center	5709	746
Sbata	Ben M'sick	3700	591
Ben M'sick	Sidi Maârouf	14784	1398
Ben M'sick	Bourgogne	2337578	88408
Ben M'sick	Aïn Borja	5239	677
Ben M'sick	Maârif	9083	931
